pid,source,fiba_person_id,n_tournaments_predraft,tournament_ids,urls
P6dc3d3ca5e,fiba.basketball,127517,3,263_81;263_80;263_1927,https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/81;https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/80;https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/1927
Pc692096d48,fiba.basketball,129929,2,263_81;263_80,https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/81;https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/80
P014b6ed928,fiba.basketball,137943,1,263_2886,https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/2886
Pc5cf3e8f14,fiba.basketball,133277,2,263_81;263_1927,https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/81;https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/1927
P38d9dee28f,fiba.basketball,133270,3,263_81;263_80;263_1927,https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/81;https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/80;https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/1927
P53313a94c2,fiba.basketball,132130,1,263_1927,https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/1927
Pa59b169e09,fiba.basketball,129927,2,263_81;263_80,https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/81;https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/80
P18458ff2ec,fiba.basketball,134532,4,263_80;263_1927;263_2886;263_2888,https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/80;https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/1927;https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/2886;https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/2888
P8abebd0da5,fiba.basketball,135716,1,263_272,https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/272
P5c0fad1503,fiba.basketball,138001,2,263_2886;263_2888,https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/2886;https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/2888
Pbc9cc4070d,fiba.basketball,134572,2,263_80;263_1927,https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/80;https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/1927
P7aeaf13cc2,fiba.basketball,127457,3,263_81;263_80;263_1927,https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/81;https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/80;https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/1927
P92a5884e77,fiba.basketball,143505,1,276_2701,https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/2701
P099a8d0c1c,fiba.basketball,143395,1,276_2701,https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/2701
P5afd5b991d,fiba.basketball,143574,1,276_2701,https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/2701
P2f15d5867f,fiba.basketball,143236,1,263_2703,https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/2703
P5ea12f1777,fiba.basketball,137443,2,263_2888;263_2703,https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/2888;https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/2703
Pd11ab06c36,fiba.basketball,135399,1,276_2701,https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/2701
P3e3a854ff5,fiba.basketball,144585,1,263_2703,https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/2703
Pc6a39f466a,fiba.basketball,142655,1,263_2703,https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/2703
Pd382320a3c,fiba.basketball,131605,2,263_80;263_1927,https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/80;https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/1927
P11475d8eed,fiba.basketball,143758,1,263_2703,https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/2703
P0820723beb,fiba.basketball,131949,3,263_81;263_80;263_1927,https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/81;https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/80;https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/1927
Pff1fab2e32,fiba.basketball,135566,1,263_2886,https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/2886
P20a1183fcf,fiba.basketball,147197,1,263_2703,https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/2703
Pdb7c6b10a9,fiba.basketball,143561,1,276_2701,https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/2701
Pa760c9001c,fiba.basketball,137946,1,263_2886,https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/2886
Pc858ff68e6,fiba.basketball,135282,1,276_2701,https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/2701
P3bad279cb0,fiba.basketball,133271,2,263_80;263_1927,https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/80;https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/1927
P8be75213cc,fiba.basketball,143414,1,276_2701,https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/2701
P23d9f5804f,fiba.basketball,143295,2,258_2996;276_2701,https://www.fiba.basketball/en/history/258-fiba-u18-asia-cup/2996;https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/2701
P12dc2a4dac,fiba.basketball,155226,1,256_3285,https://www.fiba.basketball/en/history/256-fiba-u18-americup/3285
Pc544b8efa0,fiba.basketball,144192,1,263_2703,https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/2703
P42adf8ab25,fiba.basketball,135508,2,263_2886;263_2888,https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/2886;https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/2888
P8e68185705,fiba.basketball,143326,1,263_2703,https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/2703
P93e1b535ab,fiba.basketball,137482,1,263_2888,https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/2888
P722aa856f7,fiba.basketball,155221,2,256_3285;276_3299,https://www.fiba.basketball/en/history/256-fiba-u18-americup/3285;https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/3299
Peda84f3898,fiba.basketball,146646,1,263_3163,https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/3163
P5f07dfebd6,fiba.basketball,155219,1,256_3285,https://www.fiba.basketball/en/history/256-fiba-u18-americup/3285
P3d1eff1bca,fiba.basketball,146586,3,263_3163;263_4068;276_3299,https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/3163;https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/4068;https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/3299
Pc3a5f10000,fiba.basketball,161182,1,263_4627,https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/4627
P0157d20b94,fiba.basketball,152860,1,254_3291,https://www.fiba.basketball/en/history/254-fiba-u18-afrobasket/3291
Pda7ff44e77,fiba.basketball,146596,3,263_3163;263_4068;276_3299,https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/3163;https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/4068;https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/3299
Pab534e249b,fiba.basketball,155318,2,256_3285;276_3299,https://www.fiba.basketball/en/history/256-fiba-u18-americup/3285;https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/3299
P7c1c1e7eac,fiba.basketball,159891,1,276_3299,https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/3299
P4b06d66b80,fiba.basketball,145770,1,263_2703,https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/2703
P94bbcbe8b9,fiba.basketball,145958,1,263_2703,https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/2703
Pb7bd8922eb,fiba.basketball,142957,1,258_2996,https://www.fiba.basketball/en/history/258-fiba-u18-asia-cup/2996
P22c8154970,fiba.basketball,152350,1,263_4627,https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/4627
P1738f63a26,fiba.basketball,155223,2,256_3285;276_3299,https://www.fiba.basketball/en/history/256-fiba-u18-americup/3285;https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/3299
P7b8c6b66e0,fiba.basketball,159886,1,276_3299,https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/3299
P2d06a24aee,fiba.basketball,146682,3,263_3163;263_4068;276_3299,https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/3163;https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/4068;https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/3299
P7d7c4d5568,fiba.basketball,142668,3,263_2703;263_3163;263_4068,https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/2703;https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/3163;https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/4068
P977d8b209e,fiba.basketball,155239,1,256_3285,https://www.fiba.basketball/en/history/256-fiba-u18-americup/3285
P917b0d4d70,fiba.basketball,159884,1,276_3299,https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/3299
P1015da4297,fiba.basketball,156215,1,276_3299,https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/3299
P1402e898dc,fiba.basketball,174420,1,276_3348,https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/3348
P24b8a1c556,fiba.basketball,174419,1,276_3348,https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/3348
P3d55371834,fiba.basketball,156731,2,254_3291;276_3299,https://www.fiba.basketball/en/history/254-fiba-u18-afrobasket/3291;https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/3299
P575f19a655,fiba.basketball,182010,1,256_3935,https://www.fiba.basketball/en/history/256-fiba-u18-americup/3935
P5969d3ea2a,fiba.basketball,159907,2,263_4956;263_5369,https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/4956;https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/5369
Pc8dae45369,fiba.basketball,167657,2,256_3333;276_3348,https://www.fiba.basketball/en/history/256-fiba-u18-americup/3333;https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/3348
Pb5da2dd439,fiba.basketball,160232,2,263_5369;263_5831,https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/5369;https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/5831
P2e890c30d2,fiba.basketball,167434,1,256_3333,https://www.fiba.basketball/en/history/256-fiba-u18-americup/3333
Pb0e43997bd,fiba.basketball,174426,1,276_3348,https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/3348
Pce366ff1b3,fiba.basketball,156152,3,263_4627;263_4956;276_3348,https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/4627;https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/4956;https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/3348
Pa98bcc077b,fiba.basketball,155237,1,256_3285,https://www.fiba.basketball/en/history/256-fiba-u18-americup/3285
P4d8e3ba87c,fiba.basketball,161309,2,276_3299;276_3348,https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/3299;https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/3348
P495da5b1cd,fiba.basketball,146684,1,263_4068,https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/4068
P69e13b90fc,fiba.basketball,155236,1,256_3285,https://www.fiba.basketball/en/history/256-fiba-u18-americup/3285
P43d78a0411,fiba.basketball,174427,1,276_3348,https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/3348
P2606a3d161,fiba.basketball,169406,1,263_5831,https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/5831
P8a6c25e945,fiba.basketball,155240,1,256_3285,https://www.fiba.basketball/en/history/256-fiba-u18-americup/3285
P477dab5e0e,fiba.basketball,174417,1,276_3348,https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/3348
P272afc1b90,fiba.basketball,180411,1,249_3924,https://www.fiba.basketball/en/history/249-fiba-u17-basketball-world-cup/3924
Pa260a40e68,fiba.basketball,173712,1,249_3924,https://www.fiba.basketball/en/history/249-fiba-u17-basketball-world-cup/3924
P4e4e438f6e,fiba.basketball,174318,1,249_3924,https://www.fiba.basketball/en/history/249-fiba-u17-basketball-world-cup/3924
P2320c27578,fiba.basketball,182018,1,256_3935,https://www.fiba.basketball/en/history/256-fiba-u18-americup/3935
P3f927eeca6,fiba.basketball,182011,1,276_4346,https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/4346
P4d2e34ba12,fiba.basketball,188891,1,276_4346,https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/4346
Pefaae49c8b,fiba.basketball,160364,1,263_5369,https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/5369
P52c65c114a,fiba.basketball,180412,1,249_3924,https://www.fiba.basketball/en/history/249-fiba-u17-basketball-world-cup/3924
P8d6fb61ea0,fiba.basketball,174421,1,276_3348,https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/3348
P838aeb9cb6,fiba.basketball,173711,1,249_3924,https://www.fiba.basketball/en/history/249-fiba-u17-basketball-world-cup/3924
P41b1bb4705,fiba.basketball,182013,1,256_3935,https://www.fiba.basketball/en/history/256-fiba-u18-americup/3935
Pd9273beb4e,fiba.basketball,174424,1,276_3348,https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/3348
Pc8a80657b3,fiba.basketball,174428,1,276_3348,https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/3348
P404f9fdfb6,fiba.basketball,156235,3,263_4627;263_4956;276_3348,https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/4627;https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/4956;https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/3348
Pbf890a872a,fiba.basketball,154842,1,256_3285,https://www.fiba.basketball/en/history/256-fiba-u18-americup/3285
P0dca4f55c4,fiba.basketball,159965,2,263_4956;263_5369,https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/4956;https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/5369
P711641b36d,fiba.basketball,154873,1,256_3285,https://www.fiba.basketball/en/history/256-fiba-u18-americup/3285
Pbe0e1f0064,fiba.basketball,167435,1,256_3333,https://www.fiba.basketball/en/history/256-fiba-u18-americup/3333
Pf0384da7bc,fiba.basketball,142717,2,263_3163;263_4068,https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/3163;https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/4068
P337ea84d5c,fiba.basketball,167420,1,256_3333,https://www.fiba.basketball/en/history/256-fiba-u18-americup/3333
P00193b3ed9,fiba.basketball,173518,1,249_3924,https://www.fiba.basketball/en/history/249-fiba-u17-basketball-world-cup/3924
Pde25a111c0,fiba.basketball,173444,1,263_5831,https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/5831
P1100d011d0,fiba.basketball,167131,2,256_3333;276_3348,https://www.fiba.basketball/en/history/256-fiba-u18-americup/3333;https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/3348
P9702e35c0a,fiba.basketball,158989,2,256_3935;276_4346,https://www.fiba.basketball/en/history/256-fiba-u18-americup/3935;https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/4346
P824176de50,fiba.basketball,169041,2,263_5831;276_4346,https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/5831;https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/4346
P31b4a243f7,fiba.basketball,167428,1,256_3333,https://www.fiba.basketball/en/history/256-fiba-u18-americup/3333
Pf825457ab4,fiba.basketball,188880,1,276_4346,https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/4346
