pid,draft_year,cgd_observed_gp,cgd_two_m_pg,cgd_two_a_pg,cgd_three_m_pg,cgd_three_a_pg,cgd_ft_m_pg,cgd_ft_a_pg,cgd_points_pg,cgd_orb_pg,cgd_drb_pg,cgd_ast_pg,cgd_tov_pg,cgd_stl_pg,cgd_blk_pg,cgd_pf_pg,tctx_assists_per_made_fg,tctx_blocks_per_opponent_fga,tctx_defensive_rebound_share,tctx_efg,tctx_efg_margin,tctx_ft_attempts_per_fga,tctx_margin_pg,tctx_offensive_rebound_share,tctx_opponent_assists_per_made_fg,tctx_opponent_efg,tctx_opponent_ft_attempts_per_fga,tctx_opponent_points_pg,tctx_opponent_shot_attempts_pg,tctx_opponent_three_attempt_share,tctx_opponent_turnovers_per_fga,tctx_points_pg,tctx_shot_attempts_pg,tctx_steals_per_opponent_turnover,tctx_three_attempt_share,tctx_turnovers_per_fga
P58604dcdcf,2017,37,4.27027027027027,8.756756756756756,0.5945945945945946,1.8918918918918919,3.6486486486486487,6.216216216216216,13.972972972972974,2.2162162162162162,4.405405405405405,2.7027027027027026,1.7027027027027026,0.7567567567567568,0.3783783783783784,1.8108108108108107,0.518022657054583,0.06573005519317611,0.7414910858995137,0.5208333333333334,0.045419384512460304,0.3291198501872659,10.0,0.358974358974359,0.45742092457420924,0.47541394882087307,0.28048168590065226,62.37837837837838,53.86486486486486,0.3346713497240341,0.23682890115403912,72.37837837837837,57.729729729729726,0.527542372881356,0.3693820224719101,0.19241573033707865
P379acc01ca,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P16f60c6002,2016,35,3.4571428571428573,6.085714285714285,1.6,3.942857142857143,4.571428571428571,5.457142857142857,16.285714285714285,0.5428571428571428,2.657142857142857,1.6,1.2571428571428571,1.0285714285714285,0.2571428571428571,1.7714285714285714,0.4829106945975744,0.06324701195219123,0.7053571428571429,0.5422163588390502,0.05914862975538482,0.40738786279683376,7.828571428571428,0.3010948905109489,0.4601156069364162,0.48306772908366535,0.2908366533864542,67.4,57.371428571428574,0.3042828685258964,0.20119521912350596,75.22857142857143,54.142857142857146,0.5321782178217822,0.33931398416886543,0.20211081794195251
P267f5baf8e,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P8955b1a9c4,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P099a8d0c1c,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P3470a61a00,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P5e4491e5c3,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pc047806c80,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pf804162018,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P572a4194e6,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pcb4360a784,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P5afd5b991d,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pff47b96114,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2f15d5867f,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P8a3b7b6860,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P9f246cdbe1,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pf4d4553b6f,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pc295aab61a,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P81f3558def,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P959d20dcac,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P9cbbbfe0cc,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pa4dad52ff4,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P311b5f6b41,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P6f59c256f3,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P5ea12f1777,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P17786d3599,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pd11ab06c36,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P3e3a854ff5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P8c537f5a4d,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P13a7a5112c,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pdb057d444b,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P690d8b352a,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P19de9513b3,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pc6a39f466a,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pd382320a3c,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peb2d46202e,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P83f985b4bd,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pce1d0d3699,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P01bc9a886e,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P6b0e9b0b2a,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P11475d8eed,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P43e7adb565,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pdacd6ab94d,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P63a21fbef6,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P74b71b0d31,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P83f12f36b1,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1378011126,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2b78092e41,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pbb4d6101de,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1dfb3826fd,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P38dadf836a,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pb5af3844f5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0820723beb,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P927dcf71a8,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pf4d757d073,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P5840594df8,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P5b1d935a26,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pc067530e3e,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P21b2b49a34,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pb87f242f46,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pd650e439a2,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P5104e01e75,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P32b8c3a5cb,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pbe0a02c2fd,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pa68189cdce,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pef98a54ad0,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P3928bad8a7,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pb945050559,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pf0c178cb1c,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7f2c8eb929,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pd7ea309dee,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P16dd82b034,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pc1044ed1f5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P103e95dd1f,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pb8998ddf4a,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P403a83bdf0,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pdf59a363f3,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7363f8a8b4,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P6f687d1dcc,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1259ebdf13,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1605b30cec,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P55b27de869,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pa09c3091c5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P187b6721ca,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pdbacaefe1b,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P9e0485e8f6,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P6d9b6a98b1,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pd72f71c2bb,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pb9c495a67d,2015,38,7.342105263157895,11.052631578947368,0.0,0.0,2.6052631578947367,5.105263157894737,17.289473684210527,3.526315789473684,4.947368421052632,1.2894736842105263,2.5,0.7631578947368421,1.4210526315789473,2.1315789473684212,0.535031847133758,0.06532222709338009,0.6983791402396053,0.5661798265632132,0.10081375904896506,0.3984481971702419,15.102564102564102,0.35771704180064307,0.4698544698544699,0.46536606751424814,0.23936869793950022,64.15384615384616,58.48717948717949,0.2775098640946953,0.210872424375274,79.25641025641026,56.17948717948718,0.577962577962578,0.3340940209949795,0.19214970333181197
P3e493925a2,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P9a02cf437c,2015,39,2.2564102564102564,5.128205128205129,1.205128205128205,3.1794871794871793,3.6923076923076925,4.153846153846154,11.820512820512821,0.48717948717948717,3.0256410256410255,5.564102564102564,1.9487179487179487,1.5128205128205128,0.07692307692307693,1.1794871794871795,0.535031847133758,0.06532222709338009,0.6983791402396053,0.5661798265632132,0.10081375904896506,0.3984481971702419,15.102564102564102,0.35771704180064307,0.4698544698544699,0.46536606751424814,0.23936869793950022,64.15384615384616,58.48717948717949,0.2775098640946953,0.210872424375274,79.25641025641026,56.17948717948718,0.577962577962578,0.3340940209949795,0.19214970333181197
Pb067831a66,2015,26,2.1538461538461537,4.5,1.8076923076923077,4.0,2.4615384615384617,3.1538461538461537,12.192307692307692,0.6538461538461539,3.3846153846153846,1.7307692307692308,1.1923076923076923,0.6538461538461539,0.5384615384615384,1.1538461538461537,0.5348258706467661,0.08421672555948174,0.7578125,0.5056882821387941,0.08254340581370578,0.3492605233219568,13.911764705882353,0.3425572519083969,0.4943820224719101,0.42314487632508835,0.2862190812720848,51.5,49.94117647058823,0.3657243816254417,0.21142520612485277,65.41176470588235,51.705882352941174,0.5181058495821727,0.27474402730375425,0.17974971558589306
Pf634b73f97,2015,37,2.6216216216216215,6.1891891891891895,2.135135135135135,4.837837837837838,3.135135135135135,3.945945945945946,14.783783783783784,1.135135135135135,5.783783783783784,2.5405405405405403,1.945945945945946,0.7567567567567568,0.1891891891891892,2.108108108108108,0.4790748898678414,0.049829018075232046,0.722007722007722,0.4933014354066986,0.009422588313391322,0.4047846889952153,5.0,0.33568627450980393,0.5178777393310265,0.48387884709330725,0.36492427943331707,67.32432432432432,55.32432432432432,0.3224230581338544,0.2071323888617489,72.32432432432432,56.486486486486484,0.4811320754716981,0.3119617224880383,0.19090909090909092
